s,k,E,N,phi,r,V,beta,delta_cmd,wheel_torque_cmd,rear_wr,e_min,e_max
10.088345,0.000766,-1.726862,1.471134,1.310455,0.003832,5.000000,0.000000,0.000199,0.000000,5.000000,-0.360000,0.700000
10.188229,0.001524,-1.823383,1.496839,1.310605,0.007618,5.000000,0.000000,0.000396,0.000000,5.000000,-0.320000,0.760000
10.288114,-0.002249,-1.919907,1.522531,1.310651,-0.011244,5.000000,0.000000,-0.000585,0.000000,5.000000,-0.300000,0.820000
10.387999,-0.016453,-2.016423,1.548253,1.309833,-0.082264,5.000000,0.000000,-0.004278,0.000000,5.000000,-0.280000,0.860000
10.487883,-0.049404,-2.112892,1.574150,1.306720,-0.247018,5.000000,0.000000,-0.012844,0.000000,5.000000,-0.260000,0.920000
10.587768,-0.110631,-2.209224,1.600552,1.298866,-0.553156,5.000000,0.000000,-0.028756,0.000000,5.000000,-0.240000,0.960000
10.687652,-0.178075,-2.305254,1.628031,1.284164,-0.890377,5.000000,0.000000,-0.046267,0.000000,5.000000,-0.220000,1.000000
10.787537,-0.208491,-2.400786,1.657192,1.264415,-1.042457,5.000000,0.000000,-0.054155,0.000000,5.000000,-0.160000,1.000000
10.887422,-0.231946,-2.495689,1.688338,1.242559,-1.159729,5.000000,0.000000,-0.060233,0.000000,5.000000,-0.200000,1.000000
10.987306,-0.261866,-2.589842,1.721685,1.217740,-1.309328,5.000000,0.000000,-0.067980,0.000000,5.000000,-0.180000,0.980000
11.087191,-0.279423,-2.683092,1.757476,1.190628,-1.397115,5.000000,0.000000,-0.072523,0.000000,5.000000,-0.160000,0.960000
11.187075,-0.280536,-2.775317,1.795835,1.162647,-1.402679,5.000000,0.000000,-0.072810,0.000000,5.000000,-0.160000,0.940000
11.286960,-0.270454,-2.866423,1.836778,1.134234,-1.352272,5.000000,0.000000,-0.070203,0.000000,5.000000,-0.180000,0.940000
11.386845,-0.114979,-2.956435,1.880076,1.112973,-0.574896,5.000000,0.000000,-0.029886,0.000000,5.000000,-0.160000,0.920000
11.486729,0.144844,-3.045991,1.924313,1.115415,0.724221,5.000000,0.000000,0.037642,0.000000,5.000000,-0.160000,0.880000
11.586614,0.279897,-3.136151,1.967299,1.138758,1.399485,5.000000,0.000000,0.072645,0.000000,5.000000,-0.160000,0.880000
11.686498,0.298601,-3.227454,2.007805,1.168057,1.493005,5.000000,0.000000,0.077481,0.000000,5.000000,-0.180000,0.840000
11.786383,0.299390,-3.319921,2.045578,1.197917,1.496949,5.000000,0.000000,0.077685,0.000000,5.000000,-0.180000,0.840000
11.886268,0.299186,-3.413476,2.080569,1.227850,1.495928,5.000000,0.000000,0.077632,0.000000,5.000000,-0.200000,0.820000
11.986152,0.297423,-3.508035,2.112750,1.257647,1.487115,5.000000,0.000000,0.077176,0.000000,5.000000,-0.220000,0.780000
12.086037,0.295879,-3.603508,2.142108,1.287275,1.479396,5.000000,0.000000,0.076777,0.000000,5.000000,-0.240000,0.740000
12.185921,0.294629,-3.699807,2.168632,1.316767,1.473147,5.000000,0.000000,0.076454,0.000000,5.000000,-0.260000,0.720000
12.285806,0.293629,-3.796846,2.192310,1.346141,1.468143,5.000000,0.000000,0.076196,0.000000,5.000000,-0.280000,0.680000
12.385691,0.293250,-3.894536,2.213132,1.375451,1.466250,5.000000,0.000000,0.076098,0.000000,5.000000,-0.320000,0.620000
12.485575,0.293004,-3.992795,2.231084,1.404729,1.465022,5.000000,0.000000,0.076034,0.000000,5.000000,-0.360000,0.560000
12.585460,0.293089,-4.091538,2.246152,1.433999,1.461517,4.986589,0.000000,0.076056,0.000000,4.986589,-0.360000,0.500000
12.685344,0.292621,-4.190678,2.258324,1.463252,1.444409,4.936105,0.000000,0.075935,0.000000,4.936105,-0.400000,0.460000
12.785229,0.290809,-4.290132,2.267595,1.492400,1.418724,4.878535,0.000000,0.075467,0.000000,4.878535,-0.440000,0.400000
